district,Boron_avg_value,Copper_avg_value,Electrical Conductivity_avg_value,Iron_avg_value,Manganese_avg_value,Nitrogen_avg_value,Organic Carbon_avg_value,Phosphorus_avg_value,Potassium_avg_value,Soil Ph_avg_value,Sulphur_avg_value,Zinc_avg_value,Boron_level,Copper_level,Electrical Conductivity_level,Iron_level,Manganese_level,Nitrogen_level,Organic Carbon_level,Phosphorus_level,Potassium_level,Soil Ph_level,Sulphur_level,Zinc_level
Araria,8.135989010989011,8.135302197802197,8.135989010989011,8.135302197802197,8.133241758241759,5.4226190476190474,5.423992673992674,5.423534798534798,5.423992673992674,5.424450549450549,8.135989010989011,8.135989010989011,Deficient,Deficient,Non Saline,Deficient,Deficient,High,High,High,High,Acidic,Deficient,Deficient
Arwal,10.25,10.291666666666666,10.324404761904763,10.291666666666666,10.290178571428571,6.884920634920635,6.885912698412699,6.883928571428571,6.883928571428571,7.1021825396825395,10.325892857142858,10.290178571428571,Deficient,Deficient,Non Saline,Deficient,Deficient,High,High,High,High,Acidic,Deficient,Deficient
Aurangabad,4.182848837209303,4.183827806864456,4.184118673647469,4.184409540430483,4.184409540430483,2.787361891839504,2.7886368043436107,2.7896879240162824,2.7896879240162824,2.7898002714756642,4.182664339732402,4.181104651162791,Deficient,Deficient,Non Saline,Deficient,Deficient,Low,High,High,High,Acidic,Deficient,Deficient
Banka,4.698407643312102,4.699904428161835,4.699904428161835,4.699904428161835,4.6995858553679515,3.133602378929482,3.133602378929482,3.132936929284349,3.1327245699723933,3.132752761257434,4.6995858553679515,4.699904428161835,Deficient,Sufficient,Non Saline,Sufficient,Sufficient,Low,Low,High,High,Neutral,Sufficient,Sufficient
Begusarai,14.228743828853538,14.234229292375206,14.235874931431706,14.225328947368421,14.229840921557871,9.495426271496523,9.47699050401753,9.48501461988304,9.483187134502923,9.495792169776802,14.219178082191782,14.218082191780821,Sufficient,Sufficient,Non Saline,Sufficient,Sufficient,Low,High,High,High,Neutral,Sufficient,Sufficient
Bhagalpur,9.10076530612245,9.10076530612245,9.10076530612245,9.100340136054422,9.099489795918368,6.067176870748299,6.064022662889519,6.067176870748299,6.067176870748299,6.067176870748299,9.10076530612245,9.10076530612245,Deficient,Deficient,Non Saline,Deficient,Deficient,High,Low,High,High,Acidic,Deficient,Deficient
Bhojpur,8.837108013937282,8.845383275261325,8.846689895470384,8.845818815331011,8.841463414634147,5.897502903600465,5.89692218350755,5.898083623693379,5.897212543554007,5.897793263646922,8.844076655052264,8.842770034843205,Deficient,Deficient,Non Saline,Deficient,Deficient,High,High,High,High,Acidic,Deficient,Deficient
Buxar,7.518122676579925,7.512081784386617,7.520446096654275,7.515334572490707,7.5092936802973975,5.01363073110285,5.011152416356877,5.010842627013631,5.012391573729864,5.01363073110285,7.517193308550186,7.491171003717472,Deficient,Deficient,Non Saline,Deficient,Deficient,High,High,High,High,Acidic,Deficient,Deficient
Darbhanga,14.859807460890494,14.8604091456077,14.862214199759325,14.862214199759325,14.85138387484958,9.909346169273967,9.906137184115524,9.90814279983955,9.908543922984355,9.909346169273967,14.8604091456077,14.854993983152827,Deficient,Deficient,Non Saline,Deficient,Deficient,High,High,High,High,Acidic,Deficient,Deficient
Gaya,5.7717622080679405,5.761677282377919,5.771408351026185,5.771231422505308,5.771054493984431,3.8471337579617835,3.846426043878273,3.847841472045294,3.8479594243925455,3.8479594243925455,5.770877565463553,5.771939136588818,Deficient,Deficient,Non Saline,Deficient,Deficient,High,High,High,High,Acidic,Deficient,Deficient
Gopalganj,7.8684413580246915,7.864583333333333,7.91820987654321,7.86304012345679,7.784336419753086,5.279578189300412,5.277263374485597,5.244598765432099,5.246656378600823,5.279835390946502,7.867283950617284,7.8657407407407405,Deficient,Deficient,Non Saline,Deficient,Deficient,High,High,High,High,Acidic,Deficient,Deficient
Jamui,4.643212508884151,4.642857142857143,4.643923240938166,4.642857142857143,4.640724946695096,3.096422648661455,3.096422648661455,3.095711916607439,3.095475005922767,3.095711916607439,4.642857142857143,4.642501776830135,Deficient,Deficient,Non Saline,Deficient,Deficient,High,High,High,High,Acidic,Deficient,Deficient
Jehanabad,9.909618573797678,9.916943521594684,9.937655860349127,9.926910299003323,9.90207468879668,6.585920177383592,6.6138504155124656,6.619390581717451,6.616620498614958,6.649473100388242,9.918672199170125,9.919502074688797,Deficient,Deficient,Non Saline,Sufficient,Sufficient,Medium,High,High,High,Neutral,Sufficient,Sufficient
Kaimur (Bhabua),5.239190116678106,5.2398764584763216,5.239533287577213,5.238503774879891,5.236101578586136,3.4932509723175476,3.4934797529169526,3.493022191718142,3.4907343857240907,3.492564630519332,5.239533287577213,5.239533287577213,Deficient,Deficient,Non Saline,Deficient,Deficient,High,High,High,High,Acidic,Deficient,Deficient
Katihar,9.754148471615721,9.754148471615721,9.755458515283843,9.754148471615721,9.738427947598254,6.502765647743813,6.503639010189229,6.502765647743813,6.5030567685589515,6.503639010189229,9.754585152838429,9.753711790393012,Deficient,Deficient,Non Saline,Deficient,Deficient,High,High,High,High,Acidic,Deficient,Deficient
Khagaria,16.061349693251532,16.059815950920246,16.188650306748468,16.052147239263803,16.007668711656443,10.792433537832311,10.791411042944786,10.780163599182004,10.76278118609407,10.795501022494888,16.067484662576685,16.049079754601227,Deficient,Deficient,Non Saline,Deficient,Deficient,High,High,High,High,Acidic,Deficient,Deficient
Kishanganj,6.915942028985508,6.928727272727273,6.928727272727273,6.928727272727273,6.920174165457184,4.617319787131108,4.615087040618955,4.615087040618955,4.617319787131108,4.6169491525423725,6.923691860465116,6.923021060275962,Deficient,Sufficient,Non Saline,Sufficient,Deficient,Low,Low,High,High,Acidic,Deficient,Deficient
Lakhisarai,10.258029978586723,10.267952840300108,10.270096463022508,10.267952840300108,10.267952840300108,6.844285714285714,6.844285714285714,6.8491779842744815,6.843571428571429,6.8491779842744815,10.258029978586723,10.255888650963598,Deficient,Sufficient,Non Saline,Sufficient,Sufficient,Low,Low,High,High,Neutral,Deficient,Deficient
Madhepura,21.483796296296298,21.48148148148148,21.483796296296298,21.483796296296298,21.480324074074073,14.320987654320987,14.320216049382717,14.322530864197532,14.322530864197532,14.32175925925926,21.483796296296298,21.48148148148148,Deficient,Deficient,Non Saline,Deficient,Deficient,High,High,High,High,Acidic,Deficient,Deficient
Madhubani,12.936521739130434,12.935217391304349,12.937826086956521,12.935652173913043,12.931304347826087,8.611304347826087,8.62231884057971,8.624927536231883,8.624927536231883,8.622608695652174,12.937391304347827,12.93695652173913,Deficient,Deficient,Non Saline,Deficient,Deficient,High,High,High,High,Acidic,Deficient,Deficient
Munger,9.42547033285094,9.1794500723589,9.426193921852388,9.177279305354558,9.173661360347323,6.281717317896768,6.283646888567294,6.284129281234925,6.284129281234925,6.278822961890979,9.424746743849493,9.17655571635311,Deficient,Deficient,Non Saline,Deficient,Deficient,High,High,High,High,Acidic,Deficient,Deficient
Muzaffarpur,6.72640306122449,6.7270408163265305,6.72672193877551,6.7270408163265305,6.722895408163265,4.48235544217687,4.483843537414966,4.48469387755102,4.48469387755102,4.484906462585034,6.72640306122449,6.72672193877551,Deficient,Deficient,Non Saline,Deficient,Deficient,High,High,High,High,Acidic,Deficient,Deficient
Nalanda,13.593974820143885,13.537320143884893,13.883093525179856,13.537320143884893,13.535521582733812,9.069244604316546,9.067745803357314,9.062649880095924,9.06384892086331,9.285071942446043,13.56205035971223,13.54406474820144,Deficient,Deficient,Non Saline,Deficient,Deficient,High,High,High,High,Acidic,Deficient,Deficient
Nawada,9.474857685009487,9.47438330170778,9.47438330170778,9.474857685009487,9.473908918406073,6.316571790006325,6.312776723592663,6.316571790006325,6.316571790006325,6.301707779886148,9.474857685009487,9.474857685009487,Deficient,Deficient,Non Saline,Deficient,Deficient,High,High,High,High,Acidic,Deficient,Deficient
Pashchim Champaran,9.02124430955994,9.024667931688805,9.021252371916509,9.039468690702087,9.018975332068312,6.026062753036437,6.0060713382241335,6.027573994434607,6.026315789473684,6.026821862348178,9.036798179059181,9.000758725341427,Deficient,Sufficient,Non Saline,Sufficient,Sufficient,Low,High,High,Medium,Neutral,Deficient,Deficient
Patna,15.175124378109453,15.170646766169154,15.18168242906919,15.16915422885572,15.15223880597015,10.117744610281923,10.118447246184472,10.12346498506472,10.117081260364843,10.12379688018586,15.172636815920399,15.172636815920399,Deficient,Deficient,Non Saline,Deficient,Deficient,High,Low,High,High,Neutral,Deficient,Deficient
Purbi Champaran,16.446153846153845,16.447008547008547,16.4474358974359,16.445726495726497,16.33974358974359,10.959259259259259,10.957549857549857,10.964672364672365,10.964387464387464,10.964672364672365,16.445726495726497,16.446153846153845,Deficient,Deficient,Non Saline,Deficient,Deficient,High,High,High,High,Acidic,Deficient,Deficient
Purnia,9.461004491629236,9.470371883939517,9.474243663123467,9.469963220269719,9.46710257458112,6.303459547807137,6.307105907977131,6.311002178649238,6.312176518659766,6.31244892399891,9.457551020408163,9.461821151490405,Sufficient,Sufficient,Non Saline,Sufficient,Sufficient,Low,Medium,High,Medium,Acidic,Deficient,Sufficient
Rohtas,6.45051282051282,6.451025641025641,6.450769230769231,6.45051282051282,6.449487179487179,4.301025641025641,4.299316239316239,4.300683760683761,4.300512820512821,4.300854700854701,6.451025641025641,6.44974358974359,Deficient,Deficient,Non Saline,Deficient,Deficient,High,High,High,High,Acidic,Deficient,Deficient
Saharsa,13.841880341880342,13.836538461538462,13.85897435897436,13.833333333333334,13.798076923076923,9.237891737891738,9.227207977207977,9.235754985754985,9.225071225071225,9.241452991452991,13.841880341880342,13.838675213675213,Deficient,Deficient,Non Saline,Deficient,Deficient,High,High,High,High,Acidic,Deficient,Deficient
Samastipur,11.24937655860349,11.248960931005819,11.25062344139651,11.24937655860349,11.248545303408147,7.500138542532557,7.500415627597673,7.500692712662787,7.499861457467443,7.500415627597673,11.249792186201164,11.24937655860349,Deficient,Deficient,Non Saline,Deficient,Deficient,High,High,High,High,Acidic,Deficient,Deficient
Saran,9.229881472239551,9.22800998128509,9.231129132875857,9.230817217716782,9.230505302557704,6.153878145144521,6.153462258265752,6.154086088583905,6.154086088583905,6.154086088583905,9.230193387398627,9.230505302557704,Deficient,Deficient,Non Saline,Deficient,Deficient,High,High,High,High,Acidic,Deficient,Deficient
Sheikhpura,12.739197530864198,12.739197530864198,12.742283950617283,12.739197530864198,12.733024691358025,8.49485596707819,8.49485596707819,8.49485596707819,8.493827160493828,8.489711934156379,12.737654320987655,12.74074074074074,Deficient,Deficient,Non Saline,Deficient,Deficient,High,High,High,High,Acidic,Deficient,Deficient
Sheohar,18.25799086757991,17.075342465753426,18.376712328767123,17.08219178082192,17.070776255707763,12.190258751902588,12.19330289193303,12.173515981735159,12.178082191780822,12.278538812785389,18.264840182648403,17.091324200913242,Deficient,Deficient,Non Saline,Deficient,Deficient,High,High,High,High,Acidic,Deficient,Deficient
Sitamarhi,15.990131578947368,15.971710526315789,15.991447368421053,15.973684210526315,15.921052631578947,10.659210526315789,10.653508771929825,10.659649122807018,10.657017543859649,10.700877192982457,15.988157894736842,15.986184210526316,Deficient,Deficient,Non Saline,Deficient,Deficient,High,High,High,High,Acidic,Deficient,Deficient
Siwan,8.860516605166051,8.859040590405904,8.857564575645757,8.859040590405904,8.850553505535055,5.904797047970479,5.904059040590406,5.904797047970479,5.902829028290283,5.905043050430504,8.851769911504425,8.859040590405904,Deficient,Deficient,Non Saline,Deficient,Deficient,High,High,High,High,Acidic,Deficient,Deficient
Supaul,13.25137614678899,13.268135904499541,13.254128440366973,13.253211009174311,13.079816513761468,8.840269277845778,8.827522935779816,8.832415902140673,8.824464831804281,8.84751990202082,13.25137614678899,13.253211009174311,Deficient,Sufficient,Non Saline,Deficient,Deficient,Low,High,High,High,Neutral,Deficient,Deficient
Vaishali,8.061649016641452,8.063564131668558,8.06051437216339,8.064320847521756,8.060136157337368,5.377901109989909,5.373676248108926,5.374432677760968,5.374684820978316,5.37578814627995,8.064699205448354,8.06127080181543,Deficient,Sufficient,Non Saline,Sufficient,Deficient,Low,High,High,High,Alkaline,Sufficient,Deficient
