state,crop,district,owner,status,notes
Punjab,Wheat,Ludhiana,Aakriti,processed,District-level soil profile created
Punjab,Wheat,Patiala,Aakriti,processed,District-level soil profile created
Punjab,Wheat,Bathinda,Aakriti,processed,District-level soil profile created
Punjab,Wheat,Amritsar,Aakriti,processed,District-level soil profile created
Punjab,Wheat,Sangrur,Aakriti,processed,District-level soil profile created
Telangana,Rice,Karimnagar,Aakriti,processed,District-level soil profile created
Telangana,Rice,Nizamabad,Aakriti,processed,District-level soil profile created
Telangana,Rice,Warangal,Aakriti,processed,District-level soil profile created
Telangana,Rice,Nalgonda,Aakriti,processed,District-level soil profile created
Telangana,Rice,Khammam,Aakriti,processed,District-level soil profile created
